id,username,created_at,lng,lat,text
1517419819481501696,Sangrambeuria1,Fri Apr 22 08:27:31 +0000 2022,85.85341199999999,20.2491085,@MukeshDalai2 @tpnodl_balasore @TPCentralOdisha @DSMishraKLD @EnergyOdisha @MoSarkar5T Kindly look into this matter and resolve this issue
1517419821406642176,SonamDa62159977,Fri Apr 22 08:27:32 +0000 2022,85.81129849999999,25.904118500000003,#FactsAboutChristianityOnly the Supreme God manifests himself to maintain the faith of devotion. After the death o… https://t.co/gD5QWxUx0A
1517419826360201216,HarbirSinghSuri,Fri Apr 22 08:27:33 +0000 2022,77.3508815,28.3312135,@SangitaTripat17 @SangitaKapopara Oh....you are like me
1517419853828657152,amit98764,Fri Apr 22 08:27:40 +0000 2022,73.87756049999999,26.6284155,Why this ??
1517419870056599553,icecube8006,Fri Apr 22 08:27:43 +0000 2022,74.3584865,31.5318195,Icant see #امپورٹڈ_حکومت_نامنظور but still
1517419871818027009,Sankard62422734,Fri Apr 22 08:27:44 +0000 2022,87.921509,22.2019065,@WBPolice But my family not affair here  previous to next any run and running other.
1517419872875077632,harphanah,Fri Apr 22 08:27:44 +0000 2022,72.35549850000001,30.864107500000003,Purple the knock of spring at Islamabad (G-11) https://t.co/D4ItCx8q6k
1517419875932717057,propertiesindia,Fri Apr 22 08:27:45 +0000 2022,88.44491959,26.76722305,Under Construction #2BHK #Flat #Apartment #ForSale #PrakashNagar #Siliguri #Residential #Propertyhttps://t.co/2irlsf4KUC
1517419878831255554,kurisutiisama,Fri Apr 22 08:27:46 +0000 2022,126.933305,37.405648,@ashuxedits @NEWERA_KOREA I think it will be some clothing but if there is a PC card involved 😭😭😭😭😭
1517419879166451712,Army34168900,Fri Apr 22 08:27:46 +0000 2022,90.328709,24.098380499999998,#bangladeshibtsamy #BangladeshibtsarmyThank you so much BTSFor give me a new life.Give me my happens.Love from… https://t.co/atlsKmvEhM
1517419888578801664,mdnadeem0737,Fri Apr 22 08:27:48 +0000 2022,88.352242,22.6127055,"""I seek forgiveness from Allah my lord, from every sin icommitted"""
1517419891468357632,InduPunj,Fri Apr 22 08:27:49 +0000 2022,77.095086,28.6384895,Thank you dear @ShreyaPunj
1517419892735107072,SkAbdulSattar08,Fri Apr 22 08:27:49 +0000 2022,88.29241,22.57271,Just posted a photo @ Munshirhat.howrah https://t.co/bSQ5LgnkAN
1517419899601440768,seeforgood,Fri Apr 22 08:27:51 +0000 2022,77.095086,28.6384895,"Aurangzeb's bitch, back again."
1517419900238966785,NajmulI23813975,Fri Apr 22 08:27:51 +0000 2022,88.950485,25.2115505,Nice project @TarekKh61961177@MorshedLeion@Shishir51942948
1517419908945956864,AniketT57832102,Fri Apr 22 08:27:53 +0000 2022,77.095086,28.6384895,@miss_pandit_ Offcourse
1517419909717716992,bitcoinMyName,Fri Apr 22 08:27:53 +0000 2022,86.008985,20.3694605,"Start up idea- Affiliate marketing network , where you provide leads to cpl campaign and get money ,but- once y… https://t.co/tSM4gutF0u"
1517419924938838016,AdarshS81373420,Fri Apr 22 08:27:57 +0000 2022,75.6199665,31.949989000000002,@TopologyInVeins @CISFHQrs May the departed soul rest in peace  #JaiHind
1517419927153823745,Similipal_South,Fri Apr 22 08:27:57 +0000 2022,86.707752,21.9602775,His rescue operation was initiated by the Range Officer immediately after receiving the news. He was brought to Gov… https://t.co/VBuuT1kLiC
1517419936037040128,b0bd304ca8fc4f4,Fri Apr 22 08:27:59 +0000 2022,77.184108,24.7882265,@jyotiyadaav You are beautiful
1517419942471094272,tmj_inp_jobs,Fri Apr 22 08:28:01 +0000 2022,73.8567437,18.5204303,"Join Mastercard and help us connect and power an inclusive digital economy that benefits everyone, everywhere. We'r… https://t.co/UePhC4wtkf"
1517419947844313088,Similipal_South,Fri Apr 22 08:28:02 +0000 2022,86.707752,21.9602775,Now he is undergoing treatment and is out of danger. His family members are with him now. Best possible treatment w… https://t.co/MRnUhAYNmX
1517419968039596032,amol_djace,Fri Apr 22 08:28:07 +0000 2022,73.910077,18.5081615,Back pain 😵😵😭😭😭
1517419970107379712,film_veer,Fri Apr 22 08:28:07 +0000 2022,88.352242,22.6127055,@priyanka_shama9 It's for you https://t.co/umpLeumSkV
1517419971328245760,jyhtyan,Fri Apr 22 08:28:08 +0000 2022,114.139883,22.276870000000002,#SellYourHauntedHouse 🎉🎉🎉The award certificate from the Accolade Films Competition. Two copies came and shared wit… https://t.co/pmHqz9XLfR
1517419977552240640,HarmanManchanda,Fri Apr 22 08:28:09 +0000 2022,77.095086,28.6384895,@SandeepMancha17 @SikhScope Let her live in her bubble 🤷‍♂️
1517419981516193792,koshalsisodya,Fri Apr 22 08:28:10 +0000 2022,76.7765245,30.7303855,"@MCChandigarh @SwachSurvekshan @SwachhBharatGov Only Cleaning cleaned sectors, what about colonies?  In which you a… https://t.co/pxYnYIGMOO"
1517419987748622336,oasisuniform1,Fri Apr 22 08:28:12 +0000 2022,88.352242,22.6127055,Contact With The Best Uniform Manufacturing Company in USARead More : https://t.co/vnjqtc9RdE… https://t.co/M2naNpq8k5
1517419991213219840,Usamamughal5336,Fri Apr 22 08:28:12 +0000 2022,72.35549850000001,30.864107500000003,Big Wish 😭❤️
1517420004664233985,Meandyouindia,Fri Apr 22 08:28:16 +0000 2022,78.183738,26.244218,Finally Samsung Galaxy M53 5G launched in India... 6.7' FHD+ 120Hz sAmoledDimensity 90032MP Front108+8+2+2MP6… https://t.co/HLRPpkvN8l
1517420005532479488,SujanKRoy,Fri Apr 22 08:28:16 +0000 2022,87.71411599999999,21.890379,@ESPNcricinfo Team 2
1517420005922459648,Sankard62422734,Fri Apr 22 08:28:16 +0000 2022,87.921509,22.2019065,@WBPolice Me buy My all but my affair not here previous to next here any run and running
1517420012952248321,iam_kimoni,Fri Apr 22 08:28:18 +0000 2022,121.41581099999999,31.279915000000003,"@_agneeess I followed a lot of people here, please follow back."
1517420012482744322,acewithkamlesh,Fri Apr 22 08:28:17 +0000 2022,75.892913,30.794095,"So close to ""69""Make it happen please 😅#Trending #TwitterTakeover #Twitter https://t.co/ZlO5cAYTL7"
1517420012461387776,DeepakGangwar0,Fri Apr 22 08:28:17 +0000 2022,75.763521,26.86083,@DrSurbhiMLA Earth can satisfy your needs not greeds #EarthDay https://t.co/W6EhBQ0lac
1517420019701153793,MardRole,Fri Apr 22 08:28:19 +0000 2022,85.81129849999999,25.904118500000003,@sexybhabhi56 Mast chuche
1517420039934300160,OyeWaji08,Fri Apr 22 08:28:24 +0000 2022,72.35549850000001,30.864107500000003,Khan praising @MoonisElahi6 the only true ally of IK.Pakistan salute you for standing with Truth. You have shown… https://t.co/ky5Kh5l1ET
1517420044053270529,satyajeetkhosla,Fri Apr 22 08:28:25 +0000 2022,80.86755450000001,27.1397585,@drishtiispeaks You still look like a teenager of 10th grade.
1517420048519815168,HarbirSinghSuri,Fri Apr 22 08:28:26 +0000 2022,77.3508815,28.3312135,@RashmiJamwal8 @SangitaTripat17 Thx Rashmi....kithe going car mei
1517420051170689024,Army34168900,Fri Apr 22 08:28:27 +0000 2022,90.328709,24.098380499999998,#bangladeshibtsamyLove you bts for give me a new life 🧬🙂.
1517420054752948225,mdnadeem0737,Fri Apr 22 08:28:28 +0000 2022,88.352242,22.6127055,"""O Allah save me from the fire"
1517420059450232833,Asha_islam2,Fri Apr 22 08:28:29 +0000 2022,90.328709,24.098380499999998,#Bangladeshibtsarmy our rabbit 🐇🐇🐇🐇and winter bear🐼🐼🐼🐼🐼🐼Love from bangladesh.#bangladeshbtsarmy#Bdarmy https://t.co/CyRDZhcAvh
1517420061333483520,SanjoyG26839548,Fri Apr 22 08:28:29 +0000 2022,91.363618,23.836122500000002,@Mansi94893004 god bless you
1517420072851058688,ShamolChandra9,Fri Apr 22 08:28:32 +0000 2022,90.328709,24.098380499999998,"Awesome project,I hope this project must be success.@Srabon9690 @mdsabuj1991 @Mamun1838"
1517420078593019905,SushrutKM,Fri Apr 22 08:28:33 +0000 2022,80.88440750000001,26.8251695,@ShowwcaseHQ CSS &gt;&gt;&gt;&gt; JS
1517420097547079680,pransukh37,Fri Apr 22 08:28:38 +0000 2022,80.3460625,26.405874,@aleesiomansion @uamemesforces I was talking about design wise mate. Ik in terms of values they are far from being close.
1517420113846484992,zjkxlf,Fri Apr 22 08:28:42 +0000 2022,120.32645099999999,29.159846,mark
1517420123123896320,VishnuS74032678,Fri Apr 22 08:28:44 +0000 2022,75.85974300000001,25.021984,"@NASASolarSystem NASA is a best information center in the world, please research Earthquake broadcasting,"
1517420124952621056,AnkitSa01920026,Fri Apr 22 08:28:44 +0000 2022,77.93734,30.2427275,@sspundir Have a garet day... https://t.co/OvK9LqjqKH
1517420130564972545,AnupKum93443986,Fri Apr 22 08:28:46 +0000 2022,86.244069,23.5854515,@sadiakhan89 Both will be better choice for me money won't matter to me....
1517420132854747138,Army34168900,Fri Apr 22 08:28:46 +0000 2022,90.328709,24.098380499999998,#bangladeshibtsamy #bangladeshibtsamyLove you bts for give me a new life 🧬🙂.
1517420150831550464,BuntyInstagram,Fri Apr 22 08:28:50 +0000 2022,84.440852,20.188653000000002,@Olacabs @ola_supports Ola service in Bhubaneswar has gone corrupt . Each and every driver is asking for extra 100… https://t.co/detIAHHgee
1517420164362665989,BeingOvee,Fri Apr 22 08:28:54 +0000 2022,90.328709,24.098380499999998,Cybersecurity Career Pathway#DataSecurity #Privacy #100DaysOfCode #Cloud #Security#MachineLearning #Phishing… https://t.co/BeFjqssqlz
1517420168493748226,HarmanManchanda,Fri Apr 22 08:28:55 +0000 2022,77.095086,28.6384895,@SandeepMancha17 @SikhScope Let's leave this madam @AudreyTruschke in her bubble ... she knows nothing about Sikh H… https://t.co/msmbP0Tq8R
1517420183991685120,RohitJaat2021,Fri Apr 22 08:28:58 +0000 2022,77.88198,26.704926,@shinySparrow_ Right
1517420186558734336,YAN48395213,Fri Apr 22 08:28:59 +0000 2022,109.94307,19.1604025,"Our website product pics have been updated, you are most welcome to visit  - https://t.co/WmXu3qerqV   #basalt… https://t.co/AfG6bV2LIs"
1517420198638149632,Army34168900,Fri Apr 22 08:29:02 +0000 2022,90.328709,24.098380499999998,#bangladeshibtsamyLolol veeee yoooouuuue
1517420199141847040,ReetaPearl,Fri Apr 22 08:29:02 +0000 2022,84.13302049999999,28.3908495,It was great to have you in Nepal.Love the documentary “ Shut up Sona” @sonamohapatra ❤️#WomenPower
1517420200815079424,ashwinkmr555,Fri Apr 22 08:29:02 +0000 2022,75.0684065,32.657848,Indian army ki JAI ho https://t.co/Sy0Xh8tvQM
1517420212890763264,seekmayankseek,Fri Apr 22 08:29:05 +0000 2022,75.747521,26.909683,Thankyou Hayden sir for supportWishing you a happy and healthy life.And If you could  please dance at the end on… https://t.co/s9LVFqs220
1517420213897396224,Nayangutam,Fri Apr 22 08:29:05 +0000 2022,91.5597575,26.259671,@geetasriT Awesome
1517420219337416704,Seeker_96,Fri Apr 22 08:29:07 +0000 2022,77.095086,28.6384895,@dpradhanbjp @ThePradeepRawat @ActivistSukhpal @UrHimanshuBorah @Architguptajii @anubha1812 @UnivofDelhi Now babies… https://t.co/pC0Tuco3Zx
1517420228950786048,AmishaJim,Fri Apr 22 08:29:09 +0000 2022,90.328709,24.098380499999998,@bts_bighit @BTS_twt #bangladeshibtsarmy #bangladeshibtsarmy #bangladeshibtsarmy #Bangladeshibtsarmy… https://t.co/5Xp3sUtTiY
1517420230909173760,TamasaDey10,Fri Apr 22 08:29:10 +0000 2022,88.217684,22.7089855,RESPECT!!!
1517420240883585025,GurdayalPuri,Fri Apr 22 08:29:12 +0000 2022,77.339529,30.2514435,@dalbirsinghshri @badrhain Thank you so much🙂
1517420270562070529,abhifour,Fri Apr 22 08:29:19 +0000 2022,77.095086,28.6384895,@Shiva5121 @cvkrishnan @Bala49788277 I guess US couldn’t become prosperous being a democracy
1517420272739307526,debadityo,Fri Apr 22 08:29:19 +0000 2022,77.095086,28.6384895,@yamunajiye @anil0420 @dallascfp Thank you sir! :)
1517420282855624704,MVedsen,Fri Apr 22 08:29:22 +0000 2022,85.10203849999999,25.569474,@DrKumarVishwas @BhagwantMann What you did was correct even though very lateI am sure Mr. Maan will shortly be a victim of thugi
1517420298421026816,AmishaJim,Fri Apr 22 08:29:26 +0000 2022,90.328709,24.098380499999998,@bts_bighit @BTS_twt #bangladeshibtsarmy #bangladeshibtsarmy #bangladeshibtsarmy #Bangladeshibtsarmy… https://t.co/pc22oGndd8
1517420314220670976,Sukeshadube1,Fri Apr 22 08:29:29 +0000 2022,77.4044755,23.272495,@KiranjainReal Ventilated congress
