id,username,created_at,lng,lat,text
1517416741927800832,CabreraFilipina,Fri Apr 22 08:15:18 +0000 2022,-47.8492945,-23.017543,Good morning world... It's a happy Friday 👍😁🌻 https://t.co/aVvGwhF8Ur
1517416753369919488,markhillary,Fri Apr 22 08:15:20 +0000 2022,-46.699895,-22.5824095,@KishoreBhargava I don’t believe the idea of zero tariffs on British cars at all - India would strike a deal with t… https://t.co/SeBhAAOBUI
1517417041011085314,Juliana46578189,Fri Apr 22 08:16:29 +0000 2022,-38.204671,-12.666745500000001,@BTSTaehyungTHV do not know yet....💜💜💜
